Regione,Spesa,Area
Piemonte,31,Nord
Valle d'Aosta/Vallée d'Aoste,50,Nord
Liguria,30,Nord
Lombardia,25,Nord
Trentino-Alto Adige/Südtirol,48,Nord
Veneto,27,Nord
Friuli-Venezia Giulia,29,Nord
Emilia-Romagna,26,Nord
Toscana,32,Centro
Umbria,41,Centro
Marche,37,Centro
Lazio,33,Centro
Abruzzo,44,Sud
Molise,51,Sud
Campania,69,Sud
Puglia,61,Sud
Basilicata,68,Sud
Calabria,72,Sud
Sicilia,70,Sud
Sardegna,54,Centro
